line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage,line_length_trans,verb_percentage_trans,stopword_percentage_trans,punctuation_percentage_trans,word_count_trans,adj_percentage_trans,number_percentage_trans,proper_noun_percentage_trans
59,10,9.1,18.2,5.1,3.4000000000000004,0.0,0.0,1.5034368858142386,3.0166206257996713,2.258317958127243,1.8439088914585775,1.1301807132434794,2.6304121142856256,0.0,0.0
42,9,0.0,0.0,0.0,9.5,20.0,26.700000000000003,1.4531984602822678,0.0,0.0,3.082207001484488,1.252484501515308,0.0,2.7144176165949063,5.167204273105526
108,19,14.3,14.3,4.6,2.8000000000000003,0.0,9.5,1.5971377527475774,3.7815340802378077,2.1447610589527217,1.6733200530681511,1.108449222600272,2.4272360429169444,0.0,3.082207001484488
19,2,50.0,0.0,0.0,0.0,0.0,0.0,1.3423796509621049,7.0710678118654755,0.0,0.0,0.0,0.0,0.0,0.0
75,9,0.0,0.0,0.0,2.7,0.0,81.8,1.5399482490588157,0.0,0.0,1.6431676725154984,1.1044253752367947,0.0,0.0,9.044335243676011
23,4,0.0,0.0,0.0,4.3,0.0,100.0,1.368273083326153,0.0,0.0,2.073644135332772,1.1570359301034678,0.0,0.0,10.0
38,5,0.0,0.0,2.6,2.6,0.0,50.0,1.4387268865499157,0.0,1.61245154965971,1.61245154965971,1.100265093106018,0.0,0.0,7.0710678118654755
23,1,0.0,0.0,0.0,13.0,0.0,66.7,1.368273083326153,0.0,0.0,3.605551275463989,1.2923922207808318,0.0,0.0,8.167006795638168
73,16,6.2,6.2,6.800000000000001,0.0,0.0,0.0,1.5357915933617867,2.4899799195977463,2.6076809620810595,0.0,0.0,1.8370905500142276,0.0,0.0
29,5,0.0,0.0,6.9,0.0,0.0,20.0,1.400360331291396,0.0,2.6267851073127395,0.0,0.0,0.0,0.0,4.47213595499958
9,2,0.0,0.0,0.0,0.0,66.7,0.0,1.2457309396155174,0.0,0.0,0.0,0.0,0.0,4.055477018001903,0.0
109,18,4.3,4.3,3.7,5.5,0.0,13.0,1.5986104580964025,2.073644135332772,1.9235384061671346,2.345207879911715,1.185867778627801,1.6261333316791686,0.0,3.605551275463989
31,8,0.0,0.0,0.0,16.1,23.1,38.5,1.4097307383555406,0.0,0.0,4.012480529547776,1.320330292909374,0.0,2.8479825673300656,6.2048368229954285
7,1,0.0,0.0,0.0,0.0,0.0,0.0,1.214814044039067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
